Date,District,Price
2018-01-01,Mokotów,9696.0
2018-02-01,Mokotów,9777.0
2018-03-01,Mokotów,9854.5
2018-04-01,Mokotów,9979.5
2018-05-01,Mokotów,9948.5
2018-06-01,Mokotów,9984.0
2018-07-01,Mokotów,9982.0
2018-08-01,Mokotów,10077.0
2018-09-01,Mokotów,10122.0
2018-10-01,Mokotów,10207.0
2018-11-01,Mokotów,10285.0
2018-12-01,Mokotów,10385.0
2019-01-01,Mokotów,10448.5
2019-02-01,Mokotów,10512.0
2019-03-01,Mokotów,10668.5
2019-04-01,Mokotów,10784.0
2019-05-01,Mokotów,10809.0
2019-06-01,Mokotów,10858.0
2019-07-01,Mokotów,10917.0
2019-08-01,Mokotów,10938.0
2019-09-01,Mokotów,11017.5
2019-10-01,Mokotów,11156.0
2019-11-01,Mokotów,11186.5
2019-12-01,Mokotów,11262.0
2020-01-01,Mokotów,11334.0
2020-02-01,Mokotów,11500.0
2020-03-01,Mokotów,11514.0
2020-04-01,Mokotów,11548.0
2020-05-01,Mokotów,11568.0
2020-06-01,Mokotów,11589.5
2020-07-01,Mokotów,11625.0
2020-08-01,Mokotów,11647.5
2020-09-01,Mokotów,11795.5
2020-10-01,Mokotów,11889.0
2020-11-01,Mokotów,11941.0
2018-01-01,Praga Południe,7750.0
2018-02-01,Praga Południe,7815.0
2018-03-01,Praga Południe,7920.0
2018-04-01,Praga Południe,7999.0
2018-05-01,Praga Południe,8000.0
2018-06-01,Praga Południe,8044.0
2018-07-01,Praga Południe,8158.0
2018-08-01,Praga Południe,8317.0
2018-09-01,Praga Południe,8317.0
2018-10-01,Praga Południe,8373.0
2018-11-01,Praga Południe,8450.0
2018-12-01,Praga Południe,8508.0
2019-01-01,Praga Południe,8580.0
2019-02-01,Praga Południe,8594.0
2019-03-01,Praga Południe,8649.0
2019-04-01,Praga Południe,8752.0
2019-05-01,Praga Południe,8750.0
2019-06-01,Praga Południe,8780.5
2019-07-01,Praga Południe,8855.0
2019-08-01,Praga Południe,8921.0
2019-09-01,Praga Południe,8949.0
2019-10-01,Praga Południe,9182.5
2019-11-01,Praga Południe,9280.5
2019-12-01,Praga Południe,9421.0
2020-01-01,Praga Południe,9508.0
2020-02-01,Praga Południe,9708.5
2020-03-01,Praga Południe,9857.0
2020-04-01,Praga Południe,9976.5
2020-05-01,Praga Południe,9999.0
2020-06-01,Praga Południe,10009.0
2020-07-01,Praga Południe,10237.0
2020-08-01,Praga Południe,10368.5
2020-09-01,Praga Południe,10402.0
2020-10-01,Praga Południe,10419.5
2020-11-01,Praga Południe,10450.5
2018-01-01,Ursynów,8470.0
2018-02-01,Ursynów,8470.0
2018-03-01,Ursynów,8456.0
2018-04-01,Ursynów,8456.0
2018-05-01,Ursynów,8558.0
2018-06-01,Ursynów,8558.0
2018-07-01,Ursynów,8561.5
2018-08-01,Ursynów,8568.5
2018-09-01,Ursynów,8632.0
2018-10-01,Ursynów,8686.5
2018-11-01,Ursynów,8800.0
2018-12-01,Ursynów,8816.0
2019-01-01,Ursynów,8868.0
2019-02-01,Ursynów,8952.5
2019-03-01,Ursynów,9026.5
2019-04-01,Ursynów,9006.0
2019-05-01,Ursynów,9031.0
2019-06-01,Ursynów,9131.0
2019-07-01,Ursynów,9303.0
2019-08-01,Ursynów,9397.0
2019-09-01,Ursynów,9415.0
2019-10-01,Ursynów,9574.0
2019-11-01,Ursynów,9640.5
2019-12-01,Ursynów,9674.0
2020-01-01,Ursynów,9786.5
2020-02-01,Ursynów,9956.0
2020-03-01,Ursynów,10000.0
2020-04-01,Ursynów,10035.5
2020-05-01,Ursynów,10264.0
2020-06-01,Ursynów,10357.5
2020-07-01,Ursynów,10445.5
